Timestamp,Latitude,Longitude,Altitude,RelativeAltitude,Roll,Pitch,Yaw,FlightMode,Armed,BatteryVoltage,BatteryCurrent,BatteryLevel,GroundSpeed,AirSpeed
2026-08-08T02:43:40.362772+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:42.398071+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:42.879823+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:43.328081+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:43.754402+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:44.191637+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:44.628266+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:45.036217+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:45.493102+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:45.923018+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:46.326110+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:46.740039+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:47.210037+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:47.655704+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:43:48.140326+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
