Timestamp,Latitude,Longitude,Altitude,RelativeAltitude,Roll,Pitch,Yaw,FlightMode,Armed,BatteryVoltage,BatteryCurrent,BatteryLevel,GroundSpeed,AirSpeed
2026-08-08T03:03:56.153174+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:03:58.588912+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:03:59.070757+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:03:59.546136+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:04:00.033497+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:04:00.473067+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:04:00.934501+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:04:01.364059+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:04:01.788710+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:04:02.224866+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:04:02.648140+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:04:03.103768+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:04:03.530682+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:04:03.975165+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T03:04:04.412364+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
