Timestamp,Latitude,Longitude,Altitude,RelativeAltitude,Roll,Pitch,Yaw,FlightMode,Armed,BatteryVoltage,BatteryCurrent,BatteryLevel,GroundSpeed,AirSpeed
2026-08-08T02:52:27.878976+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:29.971163+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:30.399100+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:30.826670+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:31.238360+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:31.647451+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:32.088871+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:32.515690+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:32.979550+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:33.418339+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:33.852784+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:34.258264+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:34.693776+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:35.125905+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
2026-08-08T02:52:35.577292+00:00,18.2949,83.8938,25.0,20.0,0.0,0.0,1.57,AUTO,True,15.8,8.4,82,4.2,4.5
